"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000085063","ENSG00000085063",0.882818836891254,4.64509073817128,49.8173006359172,1.31895642538691e-07,2.8790797008172e-05
"ENSG00000211669","ENSG00000211669",4.98261729371911,6.3693596893051,68.1153178820788,1.37024056855456e-07,2.96935102917566e-05
"ENSG00000172375","ENSG00000172375",-0.604075169348765,5.50351448471686,49.4362301676335,1.41272585014948e-07,3.03939327688635e-05
"ENSG00000176390","ENSG00000176390",-0.77635770062981,6.79967108603039,49.0836520197059,1.50588266681428e-07,3.21667293936294e-05
"ENSG00000244437","ENSG00000244437",3.53844468315891,7.09879989210352,66.0742959492363,1.61158413707137e-07,3.41804422830633e-05
"ENSG00000075702","ENSG00000075702",1.42461108482446,3.11848406666301,48.641064895999,1.63226745124502e-07,3.43753226263961e-05
"ENSG00000140451","ENSG00000140451",1.72646190031198,2.63139324753142,61.4969264674354,1.64377171898154e-07,3.43755197595406e-05
"ENSG00000186185","ENSG00000186185",2.76234074737332,2.18032945332792,50.9041890476376,1.66860317518749e-07,3.46524846902652e-05
"ENSG00000117632","ENSG00000117632",1.58827094698206,6.61618935507678,56.562526626175,1.72686864130026e-07,3.56151770469547e-05
"ENSG00000211666","ENSG00000211666",3.19199388982209,7.38824975956503,64.8936245520926,1.75974913395929e-07,3.60427634259878e-05
"ENSG00000161021","ENSG00000161021",-0.794892579825092,5.05680832340208,48.1777623658688,1.77686838486066e-07,3.60427634259878e-05
"ENSG00000119326","ENSG00000119326",2.14185595017747,3.02475543549429,51.1172284202404,1.78375823007731e-07,3.60427634259878e-05
"ENSG00000128228","ENSG00000128228",1.1632565328903,6.12735762872686,50.1245336791552,1.88407956518244e-07,3.78143620112623e-05
"ENSG00000173660","ENSG00000173660",0.847683276007518,5.98504299606053,47.7505258688566,1.92245640765963e-07,3.82216512367255e-05
"ENSG00000074964","ENSG00000074964",-1.16854696374286,5.89234621706788,49.8549646655143,1.93814955493327e-07,3.82216512367255e-05
"ENSG00000189057","ENSG00000189057",1.88854975456024,2.93469508513121,48.4414109775046,1.94271559537946e-07,3.82216512367255e-05
"ENSG00000100162","ENSG00000100162",1.30053347827529,4.1015505233836,47.3461858401985,2.07209641047844e-07,4.05006818008874e-05
"ENSG00000085840","ENSG00000085840",2.54908427264789,2.91830407854915,52.4698340428763,2.09763708557363e-07,4.07336604182335e-05
"ENSG00000241351","ENSG00000241351",2.74945134703737,6.98018017283911,62.527907946144,2.12016473847083e-07,4.09055009703033e-05
"ENSG00000168268","ENSG00000168268",2.2797227319608,3.67290407066105,53.7742343265625,2.24661274152569e-07,4.30672782277729e-05
"ENSG00000076382","ENSG00000076382",1.86440780561746,4.41017470476852,53.6620354195221,2.28880901277422e-07,4.33570365764031e-05
"ENSG00000211949","ENSG00000211949",3.52561595339703,8.01748581124453,62.9945585994481,2.29072455411192e-07,4.33570365764031e-05
"ENSG00000111452","ENSG00000111452",-1.64749310529223,2.70373403604865,64.680766000614,2.63446759332972e-07,4.95062188149073e-05
"ENSG00000008256","ENSG00000008256",-1.1343831134435,3.89555814207268,46.0374478567385,2.64871928118548e-07,4.95062188149073e-05
"ENSG00000125995","ENSG00000125995",0.7183647265658,5.9129327702976,45.8491654213043,2.7449657437583e-07,5.09864599795603e-05
